"matchedname","authority","sourceid","uri","GBIF_id"
"Aesculus arguta","Buckley","iPlant_TNRS","http://www.tropicos.org/Name/15500028","3672356"
"Aesculus californica","(Spach) Nutt.","iPlant_TNRS","http://www.tropicos.org/Name/15500017","3189813"
"Aesculus glabra","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/15500003","3189806"
"Aesculus hippocastanum","L.","iPlant_TNRS","http://www.tropicos.org/Name/15500008","3189815"
"Aesculus octandra","Marshall","iPlant_TNRS","http://www.tropicos.org/Name/15500023","3189827"
"Aesculus pavia","L.","iPlant_TNRS","http://www.tropicos.org/Name/15500010","3189807"
"Aesculus sylvatica","W. Bartram","iPlant_TNRS","http://www.tropicos.org/Name/15500012","3189816"
"Aethusa cynapium","L.","iPlant_TNRS","http://www.tropicos.org/Name/1700288","5371825"
"Agapanthus praecox","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/1200769","2854755"
"Agastache urticifolia","(Benth.) Kuntze","iPlant_TNRS","http://www.tropicos.org/Name/17600009","2926403"
"Agathosma crenulata","(L.) Pillans","iPlant_TNRS","http://www.tropicos.org/Name/28100787","3190123"
"Agave","L.","iPlant_TNRS","http://www.tropicos.org/Name/40034234","2766430"
"Agave americana","L.","iPlant_TNRS","http://www.tropicos.org/Name/1200371","2767031"
"Agave attenuata","Salm-Dyck","iPlant_TNRS","http://www.tropicos.org/Name/1201703","2766613"
"Agave lecheguilla","Torr.","iPlant_TNRS","http://www.tropicos.org/Name/1201421","3723563"
"Agave schottii","Engelm.","iPlant_TNRS","http://www.tropicos.org/Name/1200681","2766574"
"Agave sisalana","Perrine ex Engelm.","iPlant_TNRS","http://www.tropicos.org/Name/50183169","2766636"
"Agave vivipara","L.","iPlant_TNRS","http://www.tropicos.org/Name/1202053","2766811"
"Ageratina adenophora","(Spreng.) R.M. King & H. Rob.","iPlant_TNRS","http://www.tropicos.org/Name/2709239","5400613"
"Eupatorium adenophorum","(Spreng.) R.M. King & H. Rob.","iPlant_TNRS","http://www.tropicos.org/Name/2709239","5400613"
"Ageratina altissima","(L.) R.M. King & H. Rob.","iPlant_TNRS","http://www.tropicos.org/Name/2709240","5400552"
"Eupatorium rugosum","","iPlant_TNRS","http://www.tropicos.org/Name/50176316","5709070"
"Ageratina riparia","(Regel) R.M. King & H. Rob.","iPlant_TNRS","http://www.tropicos.org/Name/2709250","5400790"
"Eupatorium riparium","(Regel) R.M. King & H. Rob.","iPlant_TNRS","http://www.tropicos.org/Name/2709250","5400790"
"Ageratum conyzoides","L.","iPlant_TNRS","http://www.tropicos.org/Name/2700026","5401673"
"Ageratum houstonianum","Mill.","iPlant_TNRS","http://www.tropicos.org/Name/2700027","5401760"
"Agonis flexuosa","(Willd.) Sweet","iPlant_TNRS","http://www.tropicos.org/Name/22103107","5419920"
"Agoseris grandiflora","(Nutt.) Greene","iPlant_TNRS","http://www.tropicos.org/Name/2701642","3092909"
"Agrimonia eupatoria","L.","iPlant_TNRS","http://www.tropicos.org/Name/27800017","3001956"
"Agrimonia gryposepala","Wallr.","iPlant_TNRS","http://www.tropicos.org/Name/27801466","3002117"
"Agrimonia striata","Michx.","iPlant_TNRS","http://www.tropicos.org/Name/27800018","3001999"
"Agropyron pectiniforme","(M. Bieb.) Roshev. ex B. Fedtsch.","iPlant_TNRS","http://www.tropicos.org/Name/25500809","4270510"
"Agrostemma githago","L.","iPlant_TNRS","http://www.tropicos.org/Name/6300292","3085368"
"Agrostis capillaris","L.","iPlant_TNRS","http://www.tropicos.org/Name/25502134","2706490"
"Agrostis tenuis","L.","iPlant_TNRS","http://www.tropicos.org/Name/25502134","2706490"
"Agrostis clavata","Trin.","iPlant_TNRS","http://www.tropicos.org/Name/25502191","2706467"
"Agrostis gigantea","Roth","iPlant_TNRS","http://www.tropicos.org/Name/25502394","2706541"
"Agrostis scabra","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/25502982","2706444"
"Agrostis stolonifera","L.","iPlant_TNRS","http://www.tropicos.org/Name/25503111","2706435"
"Ailanthus altissima","(Mill.) Swingle","iPlant_TNRS","http://www.tropicos.org/Name/29400088","3190653"
"Aira caryophyllea","L.","iPlant_TNRS","http://www.tropicos.org/Name/25500522","7747216"
"Aira cupaniana","Guss.","iPlant_TNRS","http://www.tropicos.org/Name/25500524","5673288"
"Aira elegantissima","Schur","iPlant_TNRS","http://www.tropicos.org/Name/25503738","5289579"
"Aira praecox","L.","iPlant_TNRS","http://www.tropicos.org/Name/25500525","5289582"
"Aira provincialis","Jord.","iPlant_TNRS","http://www.tropicos.org/Name/25503912","5672964"
"Ajuga chamaepitys","(L.) Schreb.","iPlant_TNRS","http://www.tropicos.org/Name/17600012","2927080"
"Ajuga reptans","L.","iPlant_TNRS","http://www.tropicos.org/Name/17600017","2927078"
"Akebia quinata","(Houtt.) Decne.","iPlant_TNRS","http://www.tropicos.org/Name/17700001","3033965"
"Albizia julibrissin","Durazz.","iPlant_TNRS","http://www.tropicos.org/Name/13025045","2972983"
"Albizia lebbeck","(L.) Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13025049","2973215"
"Acacia mollis","(Wall.) Boivin","iPlant_TNRS","http://www.tropicos.org/Name/13025061","7811872"
"Albuca canadensis","(L.) F.M. Leight.","iPlant_TNRS","http://www.tropicos.org/Name/100143231","2772339"
"Alcea pallida","Waldst.","iPlant_TNRS","http://www.tropicos.org/Name/19600015","5406790"
"Alcea rosea","L.","iPlant_TNRS","http://www.tropicos.org/Name/19601240","5406789"
"Alchemilla xanthochlora","Rothm.","iPlant_TNRS","http://www.tropicos.org/Name/27801492","3028198"
"Alchornea cordifolia","(Schumach. & Thonn.) Müll. Arg.","iPlant_TNRS","http://www.tropicos.org/Name/12804083","3055371"
"Sclerocarpus coffeicola","La Llave","iPlant_TNRS","http://www.tropicos.org/Name/2700032","3117992"
"Alhagi camelorum","Medik.","iPlant_TNRS","http://www.tropicos.org/Name/13046533","2945092"
"Alhagi maurorum","Medik.","iPlant_TNRS","http://www.tropicos.org/Name/13046533","2945092"
"Alhagi pseudalhagi","(M. Bieb.) Desv. ex B. Keller & Shap.","iPlant_TNRS","http://www.tropicos.org/Name/13046536","2945103"
"Alisma canaliculatum","A. Braun & C.D. Bouché","iPlant_TNRS","http://www.tropicos.org/Name/900302","2865128"
"Alisma gramineum","C.C. Gmel.","iPlant_TNRS","http://www.tropicos.org/Name/900011","2865152"
"Alisma lanceolatum","With.","iPlant_TNRS","http://www.tropicos.org/Name/900012","2865125"
"Alisma triviale","Pursh","iPlant_TNRS","http://www.tropicos.org/Name/900014","2865140"
"Allamanda blanchetii","A. DC.","iPlant_TNRS","http://www.tropicos.org/Name/1800020","3169835"
"Allamanda cathartica","L.","iPlant_TNRS","http://www.tropicos.org/Name/1800001","3169836"
"Alliaria officinalis","(M. Bieb.) Cavara & Grande","iPlant_TNRS","http://www.tropicos.org/Name/4100299","5376075"
