acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Breynia disticha,J.R. Forst. & G. Forst.,http://www.tropicos.org/Name/12804998,0,0,0,0,0,0,0
Briza maxima,L.,http://www.tropicos.org/Name/25509371,0,1,0,0,0,0,0
Briza media,L.,http://www.tropicos.org/Name/25509372,0,0,0,0,0,0,0
Briza minor,L.,http://www.tropicos.org/Name/25509373,0,1,0,0,0,0,0
Bromus alopecuros,Poir.,http://www.tropicos.org/Name/25511694,0,0,0,0,0,0,0
Bromus catharticus,Vahl,http://www.tropicos.org/Name/25512678,0,1,0,0,0,0,0
Bromus diandrus,Roth,http://www.tropicos.org/Name/25510811,0,0,0,0,0,0,0
Bromus inermis,Leyss.,http://www.tropicos.org/Name/25509399,0,0,0,0,0,0,0
Bromus japonicus,Houtt.,http://www.tropicos.org/Name/50249108,0,0,0,0,0,0,0
Bromus lanceolatus,Roth,http://www.tropicos.org/Name/25510817,0,0,0,0,0,0,0
Bromus madritensis,L.,http://www.tropicos.org/Name/25510818,0,0,0,0,1,0,0
Bromus rigidus,Roth,http://www.tropicos.org/Name/25515436,0,0,0,0,1,0,0
Bromus secalinus,L.,http://www.tropicos.org/Name/25509407,0,0,0,0,0,0,0
Bromus squarrosus,L.,http://www.tropicos.org/Name/25509408,0,0,0,0,0,0,0
Bromus sterilis,L.,http://www.tropicos.org/Name/25509409,0,0,0,0,0,0,0
Bromus tectorum,L.,http://www.tropicos.org/Name/25509410,0,0,0,0,0,0,0
Browallia americana,L.,http://www.tropicos.org/Name/29600001,0,0,0,0,0,0,0
Bryophyllum delagoense,(Eckl. & Zeyh.) Druce,TNRS,0,0,0,0,0,1,-1
Bryophyllum fedtschenkoi,(Raym.-Hamet & H. Perrier) Lauz.-March.,http://www.tropicos.org/Name/50002503,0,0,0,0,0,1,-1
Buddleja davidii,Franch.,http://www.tropicos.org/Name/19000534,0,0,0,0,0,0,0
Buddleja lindleyana,Fortune,http://www.tropicos.org/Name/19000535,0,0,0,0,0,0,0
Buddleja madagascariensis,Lam.,http://www.tropicos.org/Name/19000041,0,1,0,0,0,0,0
Bupleurum rotundifolium,L.,http://www.tropicos.org/Name/1700039,0,0,0,0,0,0,0
Caesalpinia bonduc,(L.) Roxb.,http://www.tropicos.org/Name/13027549,1,1,1,1,0,1,0
Caesalpinia decapetala,(Roth) Alston,http://www.tropicos.org/Name/13043466,0,0,0,0,0,0,0
Caesalpinia pulcherrima,(L.) Sw.,http://www.tropicos.org/Name/13027641,1,1,1,1,0,1,-1
Cajanus cajan,(L.) Huth,http://www.tropicos.org/Name/13046795,0,0,0,0,0,1,-1
Calceolaria tripartita,Ruiz & Pav.,http://www.tropicos.org/Name/29201931,0,0,0,0,0,0,0
Calendula officinalis,L.,http://www.tropicos.org/Name/2709695,0,0,0,0,0,0,0
Calliandra calothyrsus,Meisn.,http://www.tropicos.org/Name/13004761,0,0,0,0,0,0,0
Calliandra surinamensis,Benth.,http://www.tropicos.org/Name/13027753,0,0,0,1,0,1,-1
Callicarpa americana,L.,http://www.tropicos.org/Name/33700896,0,1,0,0,0,0,0
Callisia fragrans,(Lindl.) Woodson,http://www.tropicos.org/Name/8300511,0,0,0,0,1,0,0
