Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Acanthaceae,Hypoestes phyllostachya,Hypoestes,phyllostachya,"polka dot plant, freckle face",20,High Risk,H (HPWRA),22/10/2012,Hypoestes phyllostachya.pdf,
Lamiaceae,Hyptis pectinata,Hyptis,pectinata,"comb hyptis, Mesosphaerum pectinatum",14,High Risk,H (Hawaii),22/03/2016,Hyptis pectinata.pdf,
Arecaceae,Iguanura bicornis,Iguanura,bicornis,"horned seed palm, iguanura",-1,Low Risk,L (HPWRA),11/10/2012,Iguanura bicornis.pdf,
Aquifoliaceae,Ilex aquifolium,Ilex,aquifolium,English holly,17,High Risk,H (HPWRA),17/07/2012,Ilex aquifolium.pdf,
Aquifoliaceae,Ilex cassine,Ilex ,cassine,Dahoon holly,3,Evaluate,Evaluate,21/12/2006,Ilex cassine.xls,
Aquifoliaceae,Ilex dimorphophylla,Ilex ,dimorphophylla,Okinawan holly,2,Low Risk,L (HPWRA),24/01/2008,Ilex dimorphophylla.xls,
Aquifoliaceae,Ilex paraguariensis,Ilex ,paraguariensis,yerba mate,8,High Risk,H (HPWRA),12/05/2008,Ilex paraguariensis.xls,
Aquifoliaceae,Ilex rotunda,Ilex ,rotunda,Kurogane holly,2,Evaluate,Evaluate,23/07/2014,Ilex rotunda.pdf,
Aquifoliaceae,Ilex vomitoria forma pendula,Ilex   ,vomitoria forma pendula,weeping yaupon holly,3.5,Evaluate,Evaluate,09/09/2009,Ilex vomitoria forma pendula.xls,
Balsaminaceae,Impatiens balsamina,Impatiens ,balsamina,balsam impatens,5,Evaluate,Evaluate,07/10/2002,Impatiens balsamina.xls,
Balsaminaceae,Impatiens glandulifera,Impatiens ,glandulifera,"Himalayan balsam, ornamental jewelweed",12,High Risk,H (HPWRA),21/11/2017,Impatiens glandulifera.pdf,
Balsaminaceae,Impatiens hawkeri,Impatiens,hawkeri,New Guinea impatiens,8,High Risk,H (HPWRA),04/03/2013,Impatiens hawkeri.pdf,
Balsaminaceae,Impatiens sodenii,Impatiens ,sodenii,"poor man's Rhododendron, shrub balsam",11,High Risk,H (HPWRA),22/07/2015,Impatiens sodenii.pdf,
Balsaminaceae,Impatiens wallerana,Impatiens ,wallerana,busy Lizzy,6,Low Risk,L (HPWRA),07/10/2002,Impatiens wallerana.xls,
Poaceae,Imperata cylindrica,Imperata ,cylindrica,cogon grass,22,High Risk,H (HPWRA),24/01/2008,Imperata cylindrica.xls,
Fabaceae,Indigofera suffruticosa,Indigofera ,suffruticosa,wild indigo,11,High Risk,H (HPWRA),15/07/2003,Indigofera sufruticosa.xls,
Fabaceae,Indigofera teysmannii,Indigofera ,teysmannii,neel,0,Low Risk,L (HPWRA),20/11/2002,Indigofera teysmannii.xls,
Fabaceae,Inga edulis,Inga ,edulis,ice cream bean,3,Evaluate,Evaluate,31/05/2011,Inga edulis.pdf,
Fabaceae,Inga feuilleei,Inga,feuilleei,"pacae, ice cream bean",3,Evaluate,Evaluate,21/02/2013,Inga feuilleei.pdf,
Fabaceae,Inga jinicuil,Inga,jinicuil,"ice cream bean, chalahuite",1,Low Risk,L (HPWRA),19/10/2016,Inga jinicuil.pdf,
Fabaceae,Inga laurina,Inga ,laurina,"guama, sacky sac bean",6,Evaluate,Evaluate,06/12/2010,Inga laurina.pdf,
